fetch_time,reported_time,機組類型,機組名稱,裝置容量(MW),淨發電量(MW),淨發電量/裝置容量比(%),備註
2026-09-11T16:30:41,2026-09-12T00:20:00,風力,觀園,30.0,16.7,55.667%, 
2026-09-11T16:30:41,2026-09-12T00:20:00,風力,台中港,35.0,9.5,27.143%, 
2026-09-11T16:30:41,2026-09-12T00:20:00,風力,王功,23.0,0.0,0.000%,計劃停機
2026-09-11T16:30:41,2026-09-12T00:20:00,風力,彰工,86.2,20.0,23.202%,部分檢修
2026-09-11T16:30:41,2026-09-12T00:20:00,風力,雲麥,46.0,0.5,1.087%, 
2026-09-11T16:30:41,2026-09-12T00:20:00,風力,四湖,28.0,0.9,3.214%, 
2026-09-11T16:30:41,2026-09-12T00:20:00,風力,其它台電自有,84.7,33.7,39.769%, 
2026-09-11T16:30:41,2026-09-12T00:20:00,風力,苗栗大鵬,42.0,12.9,30.714%, 
2026-09-11T16:30:41,2026-09-12T00:20:00,風力,鹿威彰濱,55.2,11.2,20.290%, 
2026-09-11T16:30:41,2026-09-12T00:20:00,風力,觀威觀音&桃威新屋,48.3,13.5,27.950%, 
2026-09-11T16:30:41,2026-09-12T00:20:00,風力,中威大安,75.9,4.1,5.402%, 
2026-09-11T16:30:41,2026-09-12T00:20:00,風力,創維風,49.2,4.4,8.943%, 
2026-09-11T16:30:41,2026-09-12T00:20:00,風力,新源崙背,25.2,1.7,6.746%, 
2026-09-11T16:30:41,2026-09-12T00:20:00,風力,彰品風(註10),-,0.0,-, 
2026-09-11T16:30:41,2026-09-12T00:20:00,風力,其它購電風力,178.4,25.6,14.350%, 
2026-09-11T16:30:41,2026-09-12T00:20:00,風力,離岸一期,109.2,79.5,72.802%, 
2026-09-11T16:30:41,2026-09-12T00:20:00,風力,離岸二期(註10),-,0.7,-, 
2026-09-11T16:30:41,2026-09-12T00:20:00,風力,海洋竹南,128.0,65.9,51.484%, 
2026-09-11T16:30:41,2026-09-12T00:20:00,風力,海能風,376.0,244.9,65.133%, 
2026-09-11T16:30:41,2026-09-12T00:20:00,風力,沃一風,605.2,581.8,96.144%, 
2026-09-11T16:30:41,2026-09-12T00:20:00,風力,沃二風,294.8,275.2,93.362%, 
2026-09-11T16:30:41,2026-09-12T00:20:00,風力,沃四風(註10),-,435.4,-, 
2026-09-11T16:30:41,2026-09-12T00:20:00,風力,沃南風(註10),-,93.0,-, 
2026-09-11T16:30:41,2026-09-12T00:20:00,風力,芳一風,96.0,82.0,85.458%, 
2026-09-11T16:30:41,2026-09-12T00:20:00,風力,芳二風,499.2,435.7,87.280%, 
2026-09-11T16:30:41,2026-09-12T00:20:00,風力,允湖,320.0,83.4,26.063%, 
2026-09-11T16:30:41,2026-09-12T00:20:00,風力,允西,320.0,202.2,63.187%, 
2026-09-11T16:30:41,2026-09-12T00:20:00,風力,中能風,294.5,261.3,88.727%, 
2026-09-11T16:30:41,2026-09-12T00:20:00,風力,龍A風(註10),-,211.2,-, 
2026-09-11T16:30:41,2026-09-12T00:20:00,風力,龍B風(註10),-,191.1,-, 
2026-09-11T16:30:41,2026-09-12T00:20:00,風力,龍三風(註10),-,0.0,-,通訊異常
2026-09-11T16:30:41,2026-09-12T00:20:00,風力,小計(註5),3850.0(6.342%),3398.1(11.573%),,
