fetch_time,reported_time,機組類型,機組名稱,裝置容量(MW),淨發電量(MW),淨發電量/裝置容量比(%),備註
2026-09-24T16:30:44,2026-09-25T00:20:00,風力,觀園,30.0,0.3,1.000%, 
2026-09-24T16:30:44,2026-09-25T00:20:00,風力,台中港,35.0,0.0,0.000%, 
2026-09-24T16:30:44,2026-09-25T00:20:00,風力,王功,23.0,0.0,0.000%, 
2026-09-24T16:30:44,2026-09-25T00:20:00,風力,彰工,86.2,0.3,0.348%,部分檢修
2026-09-24T16:30:44,2026-09-25T00:20:00,風力,雲麥,46.0,0.0,0.004%, 
2026-09-24T16:30:44,2026-09-25T00:20:00,風力,四湖,28.0,0.0,0.000%, 
2026-09-24T16:30:44,2026-09-25T00:20:00,風力,其它台電自有,84.7,21.0,24.782%, 
2026-09-24T16:30:44,2026-09-25T00:20:00,風力,苗栗大鵬,42.0,0.0,0.000%, 
2026-09-24T16:30:44,2026-09-25T00:20:00,風力,鹿威彰濱,55.2,0.0,0.000%, 
2026-09-24T16:30:44,2026-09-25T00:20:00,風力,觀威觀音&桃威新屋,48.3,1.0,2.070%, 
2026-09-24T16:30:44,2026-09-25T00:20:00,風力,中威大安,75.9,0.0,0.000%, 
2026-09-24T16:30:44,2026-09-25T00:20:00,風力,創維風,49.2,0.0,0.000%, 
2026-09-24T16:30:44,2026-09-25T00:20:00,風力,新源崙背,25.2,0.0,0.000%, 
2026-09-24T16:30:44,2026-09-25T00:20:00,風力,彰品風(註10),-,0.0,-, 
2026-09-24T16:30:44,2026-09-25T00:20:00,風力,其它購電風力,178.4,0.4,0.224%, 
2026-09-24T16:30:44,2026-09-25T00:20:00,風力,離岸一期,109.2,0.0,0.000%, 
2026-09-24T16:30:44,2026-09-25T00:20:00,風力,離岸二期(註10),-,0.9,-, 
2026-09-24T16:30:44,2026-09-25T00:20:00,風力,海洋竹南,128.0,0.0,0.000%, 
2026-09-24T16:30:44,2026-09-25T00:20:00,風力,海能風,376.0,0.0,0.000%, 
2026-09-24T16:30:44,2026-09-25T00:20:00,風力,沃一風,605.2,76.4,12.624%, 
2026-09-24T16:30:44,2026-09-25T00:20:00,風力,沃二風,294.8,37.0,12.552%, 
2026-09-24T16:30:44,2026-09-25T00:20:00,風力,沃四風(註10),-,86.1,-, 
2026-09-24T16:30:44,2026-09-25T00:20:00,風力,沃南風,337.1,20.1,5.963%, 
2026-09-24T16:30:44,2026-09-25T00:20:00,風力,芳一風,96.0,3.9,4.083%, 
2026-09-24T16:30:44,2026-09-25T00:20:00,風力,芳二風,499.2,15.7,3.145%, 
2026-09-24T16:30:44,2026-09-25T00:20:00,風力,允湖,320.0,0.0,0.000%, 
2026-09-24T16:30:44,2026-09-25T00:20:00,風力,允西,320.0,0.0,0.000%, 
2026-09-24T16:30:44,2026-09-25T00:20:00,風力,中能風,294.5,4.6,1.562%, 
2026-09-24T16:30:44,2026-09-25T00:20:00,風力,龍A風(註10),-,23.4,-, 
2026-09-24T16:30:44,2026-09-25T00:20:00,風力,龍B風(註10),-,8.1,-, 
2026-09-24T16:30:44,2026-09-25T00:20:00,風力,龍三風(註10),-,0.0,-,通訊異常
2026-09-24T16:30:44,2026-09-25T00:20:00,風力,小計(註5),4187.1(6.852%),299.2(0.997%),,
2026-09-24T17:00:55,2026-09-25T00:50:00,風力,觀園,30.0,0.8,2.667%, 
2026-09-24T17:00:55,2026-09-25T00:50:00,風力,台中港,35.0,0.0,0.000%, 
2026-09-24T17:00:55,2026-09-25T00:50:00,風力,王功,23.0,0.0,0.000%, 
2026-09-24T17:00:55,2026-09-25T00:50:00,風力,彰工,86.2,0.3,0.348%,部分檢修
2026-09-24T17:00:55,2026-09-25T00:50:00,風力,雲麥,46.0,0.0,0.004%, 
2026-09-24T17:00:55,2026-09-25T00:50:00,風力,四湖,28.0,0.0,0.000%, 
2026-09-24T17:00:55,2026-09-25T00:50:00,風力,其它台電自有,84.7,18.5,21.831%, 
2026-09-24T17:00:55,2026-09-25T00:50:00,風力,苗栗大鵬,42.0,0.0,0.000%, 
2026-09-24T17:00:55,2026-09-25T00:50:00,風力,鹿威彰濱,55.2,0.0,0.000%, 
2026-09-24T17:00:55,2026-09-25T00:50:00,風力,觀威觀音&桃威新屋,48.3,1.3,2.692%, 
